Num Nodes,Num Models,Num Requests,Stress Level,Alpha,Mean Latency,Median Latency,Min Latency,Max Latency,Standard Deviation,Warm,Cold,Download,Evict,50th Percentile,90th Percentile,95th Percentile,99th Percentile
20,10000,100000,0.2,1.6,22.0,0.26,0.06,77.89,28.73,59775,40225,0,0,0.26,70.66,73.07,75.48
20,10000,100000,0.2,2.2,9.33,0.15,0.05,77.89,20.33,80892,19108,0,0,0.15,44.15,58.61,75.48
20,10000,100000,0.2,4.0,5.02,0.22,0.06,83.02,17.04,92444,7555,1,0,0.22,0.22,61.02,73.07
20,10000,100000,1.0,0.0,48.72,48.97,0.05,106.89,17.86,619,99352,29,0,48.97,73.07,75.48,77.89
20,10000,100000,1.0,1.1,37.93,39.33,0.05,103.48,24.89,21598,78398,4,0,39.33,70.66,75.48,77.89
20,10000,100000,1.0,1.6,10.92,0.18,0.05,93.25,21.34,77207,22788,5,0,0.18,51.38,63.43,77.89
20,10000,100000,1.0,2.2,4.75,0.25,0.05,103.48,15.2,90934,9061,5,0,0.25,0.28,44.15,73.07
20,10000,100000,1.0,4.0,1.42,0.18,0.08,77.89,7.77,97311,2685,4,0,0.18,0.18,0.2,51.38
20,10000,100000,10.0,0.0,14305.69,14242.49,20.05,28652.6,8278.32,1485,15276,22849,60390,14242.49,25788.07,27207.98,28329.53
20,10000,100000,10.0,1.1,9007.21,9016.75,20.05,18129.49,5230.13,30135,14494,15622,39749,9016.75,16248.41,17161.12,17888.22
20,10000,100000,10.0,1.6,5.92,0.27,0.05,178.74,17.2,90367,9341,292,0,0.27,27.28,51.38,73.07
20,10000,100000,10.0,2.2,1.41,0.07,0.05,83.02,8.23,97093,2894,13,0,0.07,0.17,0.2,56.2
20,10000,100000,10.0,4.0,0.48,0.12,0.07,106.89,4.03,99124,859,17,0,0.12,0.12,0.12,0.16
20,100000,1000,0.2,0.0,62.76,62.56,20.05,106.89,24.39,0,118,348,534,62.56,96.66,103.48,106.89
20,100000,1000,0.2,1.1,52.26,52.33,0.05,106.89,24.84,72,581,129,218,52.33,83.02,93.25,103.48
20,100000,1000,0.2,1.6,23.27,0.25,0.05,79.61,28.83,573,425,0,2,0.25,68.25,68.25,77.89
20,100000,1000,0.2,2.2,13.43,0.27,0.09,100.07,26.02,778,221,0,1,0.27,65.84,77.89,77.89
20,100000,1000,0.2,4.0,5.59,0.29,0.09,106.89,18.05,913,86,0,1,0.29,0.29,44.15,77.89
20,100000,1000,1.0,0.0,63.78,62.56,0.16,106.89,24.38,1,128,327,544,62.56,100.07,103.48,106.89
20,100000,1000,1.0,1.1,43.63,44.15,0.05,106.89,28.33,182,483,131,204,44.15,79.61,89.84,103.48
