Num Nodes,Num Models,Num Requests,Stress Level,Alpha,Mean Latency,Median Latency,Min Latency,Max Latency,Standard Deviation,Warm,Cold,Download,Evict,50th Percentile,90th Percentile,95th Percentile,99th Percentile
20,10000,1000,0.2,2.2,0.75,0.05,0.05,5.19,1.48,822,178,0,0,0.05,3.54,4.53,4.97
20,10000,1000,0.2,4.0,0.53,0.28,0.06,5.08,0.95,928,72,0,0,0.28,0.28,2.66,5.08
20,10000,1000,1.0,0.0,3.83,3.87,0.06,5.19,0.85,6,994,0,0,3.87,4.97,5.08,5.19
20,10000,1000,1.0,1.1,3.13,3.54,0.06,5.19,1.64,201,799,0,0,3.54,4.86,5.08,5.19
20,10000,1000,1.0,1.6,1.01,0.19,0.05,5.19,1.58,783,217,0,0,0.19,4.09,4.64,5.19
20,10000,1000,1.0,2.2,0.4,0.1,0.05,5.19,0.94,926,74,0,0,0.1,0.29,2.99,4.64
20,10000,1000,1.0,4.0,0.38,0.27,0.05,4.97,0.65,970,30,0,0,0.27,0.27,0.27,4.75
20,10000,1000,10.0,0.0,49.38,50.97,0.11,120.54,38.18,17,397,586,0,50.97,102.52,107.4,115.56
20,10000,1000,10.0,1.1,17.52,12.46,0.06,75.71,17.84,323,387,290,0,12.46,44.26,50.04,66.48
20,10000,1000,10.0,1.6,0.83,0.19,0.05,31.97,2.3,852,143,5,0,0.19,3.54,4.31,5.19
20,10000,1000,10.0,2.2,0.8,0.27,0.08,31.97,2.66,913,79,8,0,0.27,0.29,4.97,4.97
20,10000,1000,10.0,4.0,0.52,0.21,0.06,25.31,1.79,941,55,4,0,0.21,0.21,4.31,4.31
20,10000,100000,0.2,0.0,3.87,3.87,0.05,5.19,0.8,106,99894,0,0,3.87,4.97,5.08,5.19
20,10000,100000,0.2,1.1,3.45,3.65,0.05,5.19,1.36,10871,89129,0,0,3.65,4.86,5.08,5.19
20,10000,100000,0.2,1.6,1.48,0.29,0.05,5.19,1.72,63784,36216,0,0,0.29,4.31,4.53,5.19
20,10000,100000,0.2,2.2,0.84,0.14,0.05,5.19,1.51,82573,17427,0,0,0.14,3.87,4.31,5.08
20,10000,100000,0.2,4.0,0.39,0.12,0.12,5.08,1.04,93734,6266,0,0,0.12,0.12,3.32,4.97
20,10000,100000,1.0,0.0,3.84,3.87,0.05,5.19,0.84,571,99429,0,0,3.87,4.97,5.08,5.19
