HashOwner,Total Invocation,15min_Alls_g,Ratio
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,161,0.11180555555555556
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,73,0.2534722222222222
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,160,0.1111111111111111
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,73,0.2534722222222222
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,154,0.10694444444444444
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,72,0.25
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,155,0.1076388888888889
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,73,0.2534722222222222
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1441,155,0.10756419153365718
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,2,1,0.5
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,75,0.2604166666666667
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,2,2,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,159,0.11041666666666666
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,2,1,0.5
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,2,1,0.5
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,74,0.2569444444444444
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,158,0.10972222222222222
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,75,0.2604166666666667
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,158,0.10972222222222222
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,4,2,0.5
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,73,0.2534722222222222
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1441,159,0.11034004163775156
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,76,0.2638888888888889
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1441,162,0.11242192921582235
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,75,0.2604166666666667
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1441,159,0.11034004163775156
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,287,77,0.2682926829268293
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,160,0.1111111111111111
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,287,74,0.2578397212543554
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,2,2,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1441,163,0.11311589174184594
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,74,0.2569444444444444
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,161,0.11180555555555556
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,74,0.2569444444444444
