Timestamp,StatusCode,E2ELatency
248,200,4.415
248,200,4.932
248,200,4.32
248,200,4.14
248,200,4.112
248,200,3.91
248,200,4.178
248,200,4.886
248,200,4.021
248,200,4.286
248,200,4.043
248,200,3.914
248,200,3.985
248,200,5.14
248,200,3.598
248,200,3.427
248,200,3.749
248,200,3.676
248,200,4.456
248,200,3.725
248,200,3.882
248,200,3.455
248,200,3.427
248,200,3.599
248,200,3.262
248,200,3.432
248,200,3.626
248,200,3.525
248,200,4.088
248,200,3.29
248,200,3.347
248,200,3.322
248,200,3.283
248,200,3.553
248,200,2.775
248,200,2.88
248,200,3.1
248,200,2.939
248,200,3.021
248,200,3.228
248,200,3.114
248,200,3.117
248,200,2.677
248,200,2.622
248,200,2.774
248,200,2.578
248,200,2.506
248,200,3.228
248,200,2.578
248,200,2.685
248,200,2.753
248,200,2.484
248,200,2.222
248,200,2.481
248,200,2.146
248,200,2.048
248,200,2.335
248,200,2.269
248,200,2.428
248,200,2.469
248,200,2.031
248,200,3.11
248,200,1.712
248,200,2.026
248,200,1.909
248,200,1.679
248,200,1.826
248,200,1.974
248,200,1.93
248,200,1.976
248,200,1.554
248,200,1.642
248,200,2.01
248,200,1.588
248,200,1.734
248,200,2.366
248,200,1.6
248,200,1.51
248,200,1.679
248,200,1.86
248,200,1.609
248,200,1.566
248,200,1.6
248,200,1.574
248,200,1.551
248,200,1.652
248,200,2.397
248,200,1.766
248,200,1.8
248,200,1.761
248,200,1.71
248,200,1.714
248,200,1.634
248,200,1.557
248,200,2.002
248,200,2.434
248,200,1.571
248,200,1.522
248,200,1.506
248,200,1.826
248,200,1.536
248,200,2.143
248,200,1.667
248,200,1.618
248,200,1.472
248,200,1.912
248,200,1.937
248,200,1.598
248,200,1.534
248,200,1.595
248,200,2.203
248,200,1.453
248,200,1.655
248,200,1.557
248,200,1.555
248,200,1.57
248,200,1.801
248,200,1.53
248,200,1.809
248,200,1.936
248,200,2.145
248,200,1.549
248,200,1.541
248,200,1.541
248,200,1.656
248,200,1.474
248,200,1.838
248,200,1.68
248,200,1.58
248,200,2.215
248,200,1.431
248,200,1.455
248,200,1.845
248,200,1.546
