Profiling load_model_state_dict...
         230787 function calls (207449 primitive calls) in 10.540 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/utils/hub.py:252(extract_commit_hash)
     1118    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:2014(<dictcomp>)
  231/224    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/configuration_utils.py:256(__setattr__)
     1118    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/__future__.py:68(get_swap_module_params_on_conversion)
      557    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      994    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/_jit_internal.py:1120(is_scripting)
      557    0.000    0.000    0.000    0.000 {method 'data_ptr' of 'torch._C.StorageBase' objects}
      559    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/overrides.py:1838(is_tensor_like)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/re.py:198(search)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/re.py:289(_compile)
     1122    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      435    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function_variadic}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:759(compile)
      559    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/serialization.py:1330(dtype)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/json/__init__.py:183(dumps)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/json/encoder.py:182(encode)
      557    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/serialization.py:240(_cpu_deserialize)
      122    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/container.py:311(__len__)
        3    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/serialization.py:1432(find_class)
      433    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/configuration_utils.py:818(_dict_from_json_file)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
      122    0.000    0.000    0.000    0.000 /usr/lib/python3.8/json/encoder.py:413(_iterencode)
      557    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/utils/_python_dispatch.py:121(<listcomp>)
      653    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/serialization.py:442(_open_file_like)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:937(parse)
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/models/auto/configuration_auto.py:649(__getitem__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:766(getenv)
      2/1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:435(_parse_sub)
      2/1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:493(_parse)
      122    0.000    0.000    0.000    0.000 /usr/lib/python3.8/json/encoder.py:333(_iterencode_dict)
       83    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
     13/4    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/configuration_utils.py:1009(dict_torch_dtype_to_str)
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/serialization.py:424(__init__)
        5    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/importlib/__init__.py:109(import_module)
      3/2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/abc.py:100(__subclasscheck__)
      841    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1002(_gcd_import)
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/utils/hub.py:159(is_remote_url)
        6    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/packaging/version.py:503(_cmpkey)
      3/2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/urllib/parse.py:377(urlparse)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:657(get)
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/serialization.py:1327(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:986(_find_and_load)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/pathlib.py:1039(__new__)
