Profiling load_model_state_dict...
         219349 function calls (196033 primitive calls) in 87.281 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
      192    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/pathlib.py:702(_from_parts)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/os.py:754(encode)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/copyreg.py:103(_slotnames)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/_collections_abc.py:78(_check_methods)
        4    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/pathlib.py:682(_parse_args)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.9/posixpath.py:71(join)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/genericpath.py:39(isdir)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/serialization.py:235(_is_path)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.9/copy.py:200(_deepcopy_list)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1436(info)
       99    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       36    0.000    0.000    0.000    0.000 {built-in method _json.encode_basestring_ascii}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1689(isEnabledFor)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/pathlib.py:64(parse_parts)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.9/json/encoder.py:223(floatstr)
       16    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_parse.py:255(get)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/genericpath.py:27(isfile)
      4/2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_parse.py:175(getwidth)
        3    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/sparse.py:156(_fill_padding_idx_with_zero)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.9/copy.py:263(<genexpr>)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_parse.py:165(__getitem__)
      2/1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_compile.py:485(_get_literal_prefix)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:883(_resolve_name)
        4    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:394(name_or_path)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/json/encoder.py:204(iterencode)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       19    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_parse.py:234(__next)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/copyreg.py:94(__newobj__)
